word	raw_frequency	relative_frequency	zipf	number_of_letters	orth_neighbor_size	avg_orth_neighbor_freq	IPA_original	IPA	phon_neighbor_size	avg_phon_neighbor_freq	phonographic_distance
time	1562273	7384.529729440297	6.868322843261761	4	1.25	4.320822375344806	taɪm	taɪm	1.0	4.371230139603858	0.017234932416044447
gonna	1289737	6096.310452564399	6.7850670751954745	5	1.9	4.145761775058107	ɡənə	ɡənə	2.0	3.787308419590313	0.11862453240183592
people	1051746	4971.3779888789695	6.696476785115154	6	2.35	4.036239021832263	piːpəl	piːpəl	1.85	4.110980641529862	0.14062463570386963
yeah	800543	3783.995232072323	6.5779505805083005	4	1.7	4.679781146375938	jɛh	jɛh	1.75	4.472203300120471	0.09070022190195451
life	721200	3408.957871557879	6.532621634181957	4	1.3	4.460747684089659	laɪf	laɪf	1.0	4.160004092752941	0.020649448705618356
love	719022	3398.662932228632	6.531308094876688	4	1.1	4.390202375504045	lʌv	lʌv	1.05	4.1643713115439365	0.009746214253340695
day	688851	3256.051079839873	6.512691209337123	3	1.0	4.482885645808787	deɪ	deɪ	1.0	4.338832385566095	0.0
uh	559582	2645.0242147561025	6.422429652283045	2	1.05	3.977820229751748	ʌ	ʌ	1.35	3.9988080812563616	0.022990781003009414
hey	558056	2637.811139725601	6.421243697991547	3	1.0	3.868553855367783	heɪ	heɪ	1.0	3.957717023051619	0.0
night	554331	2620.203862865433	6.418335082569049	5	1.55	4.588480724265713	naɪt	naɪt	1.0	4.393954791704685	0.03756514969262124
told	544211	2572.368791234588	6.410333231949128	4	1.4	4.491981145793834	toʊld	toʊld	1.15	4.278631748372571	0.03604275649696837
talk	523932	2476.5143033292607	6.393840840632237	4	1.4	4.224522783596627	tɔːk	tɔːk	1.15	4.089923390820267	0.03604275649696837
money	494652	2338.1140170297394	6.368865685508244	5	1.7	4.335314538029665	mʌni	mʌni	1.15	4.188388569961172	0.056345176634873595
guy	488908	2310.963359772073	6.363793059812752	3	1.35	4.355954271483168	ɡaɪ	ɡaɪ	1.0	4.090757739602753	0.024053377271314222
father	462688	2187.0270378194286	6.339854152174901	6	1.65	4.152482306929858	fɑːðɚ	fɑːðɚ	1.8	4.084656378921046	0.09004908435425671
lot	452423	2138.5065822571137	6.330110591339869	3	1.0	3.883750806958635	lɑːt	lɑːt	1.0	4.088865916651998	0.0
