Word	IPA
ability	əbələty
absence	əbsəncə
academy	əcədəmy
account	əccəənt
action	əctəən
activity	əctəvəty
actor	əctər
addition	əddətəən
address	əddrəss
administration	ədmənəstrətəən
advantage	ədvəntəgə
advertisement	ədvərtəsəmənt
advice	ədvəcə
affair	əffəər
agency	əgəncy
agreement	əgrəəmənt
airplane	əərplənə
airport	əərpərt
alarm	ələrm
alcohol	əlcəhəl
ambition	əmbətəən
analysis	ənəlysəs
animal	ənəməl
announcement	ənnəəncəmənt
answer	ənswər
anxiety	ənxəəty
apartment	əpərtmənt
apology	əpələgy
appearance	əppəərəncə
application	əppləcətəən
appointment	əppəəntmənt
approval	əpprəvəl
argument	ərgəmənt
arrangement	ərrəngəmənt
arrival	ərrəvəl
article	ərtəclə
artist	ərtəst
aspect	əspəct
assignment	əssəgnmənt
assistant	əssəstənt
association	əssəcəətəən
assumption	əssəmptəən
atmosphere	ətməsphərə
attitude	əttətədə
audience	əədəəncə
author	əəthər
average	əvərəgə
background	bəckgrəənd
balance	bələncə
balloon	bəlləən
banker	bənkər
barrier	bərrəər
basement	bəsəmənt
basis	bəsəs
basket	bəskət
bathroom	bəthrəəm
battery	bəttəry
beauty	bəəəty
bedroom	bədrəəm
behavior	bəhəvəər
benefit	bənəfət
bicycle	bəcyclə
billion	bəlləən
birthday	bərthdəy
blanket	blənkət
board	bəərd
boundary	bəəndəry
brain	brəən
bread	brəəd
breakfast	brəəkfəst
breath	brəəth
brother	brəthər
building	bəəldəng
business	bəsənəss
butter	bəttər
button	bəttən
cabinet	cəbənət
camera	cəmərə
campaign	cəmpəəgn
candidate	cəndədətə
capital	cəpətəl
career	cərəər
carpet	cərpət
carrier	cərrəər
category	cətəgəry
celebration	cələbrətəən
cellphone	cəllphənə
center	cəntər
ceremony	cərəməny
challenge	chəlləngə
chance	chəncə
change	chəngə
channel	chənnəl
chapter	chəptər
character	chərəctər
charity	chərəty
cheese	chəəsə
chemical	chəməcəl
childhood	chəldhəəd
choice	chəəcə
cigarette	cəgərəttə
citizen	cətəzən
civilization	cəvələzətəən
clarity	clərəty
classroom	cləssrəəm
climate	cləmətə
closet	cləsət
clothes	cləthəs
coffee	cəffəə
collection	cəlləctəən
college	cəlləgə
combination	cəmbənətəən
comfort	cəmfərt
command	cəmmənd
comment	cəmmənt
commitment	cəmmətmənt
committee	cəmməttəə
community	cəmmənəty
company	cəmpəny
comparison	cəmpərəsən
competition	cəmpətətəən
complaint	cəmpləənt
computer	cəmpətər
concept	cəncəpt
concern	cəncərn
concert	cəncərt
condition	cəndətəən
conference	cənfərəncə
confidence	cənfədəncə
conflict	cənfləct
connection	cənnəctəən
consequence	cənsəqəəncə
consideration	cənsədərətəən
construction	cənstrəctəən
contract	cəntrəct
contrast	cəntrəst
conversation	cənvərsətəən
cooperation	cəəpərətəən
corner	cərnər
corporation	cərpərətəən
correction	cərrəctəən
courage	cəərəgə
course	cəərsə
cousin	cəəsən
coverage	cəvərəgə
creation	crəətəən
creature	crəətərə
credit	crədət
criticism	crətəcəsm
culture	cəltərə
customer	cəstəmər
damage	dəməgə
danger	dəngər
darkness	dərknəss
database	dətəbəsə
daughter	dəəghtər
deadline	dəədlənə
dealer	dəələr
decision	dəcəsəən
defeat	dəfəət
defense	dəfənsə
degree	dəgrəə
delivery	dələvəry
demand	dəmənd
department	dəpərtmənt
departure	dəpərtərə
dependence	dəpəndəncə
description	dəscrəptəən
designer	dəsəgnər
desire	dəsərə
desk	dəsk
detail	dətəəl
development	dəvələpmənt
device	dəvəcə
diagnosis	dəəgnəsəs
dialogue	dəələgəə
dictionary	dəctəənəry
difference	dəffərəncə
difficulty	dəffəcəlty
dinner	dənnər
direction	dərəctəən
director	dərəctər
disaster	dəsəstər
discovery	dəscəvəry
discussion	dəscəssəən
disease	dəsəəsə
display	dəspləy
distance	dəstəncə
distribution	dəstrəbətəən
doctor	dəctər
document	dəcəmənt
doorway	dəərwəy
drawing	drəwəng
driver	drəvər
duration	dərətəən
duty	dəty
eagle	əəglə
economy	əcənəmy
education	ədəcətəən
effort	əffərt
election	ələctəən
element	ələmənt
elevator	ələvətər
emotion	əmətəən
employee	əmpləyəə
employer	əmpləyər
employment	əmpləymənt
encounter	əncəəntər
energy	ənərgy
engineer	əngənəər
entertainment	əntərtəənmənt
enthusiasm	ənthəsəəsm
entry	əntry
environment	ənvərənmənt
episode	əpəsədə
equipment	əqəəpmənt
error	ərrər
escape	əscəpə
essay	əssəy
establishment	əstəbləshmənt
estate	əstətə
estimate	əstəmətə
event	əvənt
evidence	əvədəncə
examination	əxəmənətəən
example	əxəmplə
exchange	əxchəngə
exercise	əxərcəsə
exhibition	əxhəbətəən
existence	əxəstəncə
expansion	əxpənsəən
expectation	əxpəctətəən
expense	əxpənsə
experience	əxpərəəncə
experiment	əxpərəmənt
expert	əxpərt
explanation	əxplənətəən
expression	əxprəssəən
extension	əxtənsəən
extent	əxtənt
external	əxtərnəl
facility	fəcələty
factor	fəctər
failure	fəələrə
family	fəməly
farmer	fərmər
fashion	fəshəən
father	fəthər
feedback	fəədbəck
festival	fəstəvəl
figure	fəgərə
finance	fənəncə
finding	fəndəng
finger	fəngər
fireplace	fərəpləcə
flight	fləght
flower	fləwər
focus	fəcəs
food	fəəd
football	fəətbəll
forecast	fərəcəst
forehead	fərəhəəd
forest	fərəst
formation	fərmətəən
foundation	fəəndətəən
freedom	frəədəm
friendship	frəəndshəp
function	fənctəən
furniture	fərnətərə
gallery	gəlləry
garden	gərdən
gate	gətə
generation	gənərətəən
gift	gəft
girlfriend	gərlfrəənd
goal	gəəl
government	gəvərnmənt
graduate	grədəətə
grandfather	grəndfəthər
grandmother	grəndməthər
grocery	grəcəry
growth	grəwth
guest	gəəst
guidance	gəədəncə
habit	həbət
haircut	həərcət
hallway	həllwəy
happiness	həppənəss
hardware	hərdwərə
hatred	hətrəd
health	həəlth
hearing	həərəng
heart	həərt
height	həəght
highway	həghwəy
history	həstəry
holiday	hələdəy
homework	həməwərk
honey	hənəy
hospital	həspətəl
hostage	həstəgə
household	həəsəhəld
human	həmən
hunger	həngər
husband	həsbənd
idea	ədəə
identity	ədəntəty
impact	əmpəct
implementation	əmpləməntətəən
importance	əmpərtəncə
impression	əmprəssəən
incident	əncədənt
income	əncəmə
independence	əndəpəndəncə
individual	əndəvədəəl
industry	əndəstry
influence	ənfləəncə
information	ənfərmətəən
initiative	ənətəətəvə
injury	ənjəry
innovation	ənnəvətəən
insight	ənsəght
inspection	ənspəctəən
instructor	ənstrəctər
instrument	ənstrəmənt
insurance	ənsərəncə
interaction	əntərəctəən
interest	əntərəst
